"Matrix","P&GmatID","Organism","Population","Trait1","Trait2","Pcorr","Gcorr","AbsDiff"
NA,"And1996.5.csv","Saxifaga.granulata",NA,"petal.length","petal.width",0.35,0.305,0.045
NA,"And1996.5.csv","Saxifaga.granulata",NA,"petal.length","stamen.length",0.4,0.205,0.195
NA,"And1996.5.csv","Saxifaga.granulata",NA,"petal.length","style.length",0.43,0.43,0
NA,"And1996.5.csv","Saxifaga.granulata",NA,"petal.length","stigma.size",0.07,-0.115,0.185
NA,"And1996.5.csv","Saxifaga.granulata",NA,"petal.width","stamen.length",0.16,0.045,0.115
NA,"And1996.5.csv","Saxifaga.granulata",NA,"petal.width","style.length",0.21,0.25,0.04
NA,"And1996.5.csv","Saxifaga.granulata",NA,"petal.width","stigma.size",0.22,-0.03,0.25
NA,"And1996.5.csv","Saxifaga.granulata",NA,"stamen.length","style.length",0.34,0.16,0.18
NA,"And1996.5.csv","Saxifaga.granulata",NA,"stamen.length","stigma.size",-0.21,-0.41,0.2
NA,"And1996.5.csv","Saxifaga.granulata",NA,"style.length","stigma.size",0.22,-0.035,0.255
NA,"And1996.6.csv","Saxifaga.granulata",NA,"flower.number","plant.height",0.66,0.46,0.2
NA,"And1997.1.csv","Nigella.degenii",NA,"nectarylength","stamenlength",0.85,0.77,0.08
NA,"And1997.2.csv","Nigella.degenii",NA,"plantheight","pedunclelength",0.3,0.71,0.41
NA,"And1997.3.csv","Nigella.degenii",NA,"nectarylength","stamenlength",0.85,0.62,0.23
NA,"And1997.4.csv","Nigella.degenii",NA,"plantheight","pedunclelength",0.3,-0.16,0.46
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"ventralscales","subcaudalscales",0.0803892205016437,0.215412898,0.135023677498356
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"ventralscales","midbodydorsalscales",0.00971481782330879,0.189370275,0.179655457176691
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"ventralscales","infralabialscales",-0.0415711198191415,0.363965485,0.405536604819141
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"ventralscales","supralabialscales",0.156329211500549,0.508850818,0.352521606499451
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"ventralscales","postocularscales",0.0352772092052354,0.877088453,0.841811243794765
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"subcaudalscales","midbodydorsalscales",0.019081696219912,-0.468352034,0.487433730219912
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"subcaudalscales","infralabialscales",0.0883694330907795,0.544097053,0.455727619909221
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"subcaudalscales","supralabialscales",-0.0134892528046281,0.386958072,0.400447324804628
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"subcaudalscales","postocularscales",0.146316340132533,-0.220944729,0.367261069132533
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"midbodydorsalscales","infralabialscales",-0.00266713138070806,0.723712879,0.726380010380708
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"midbodydorsalscales","supralabialscales",0.141248249925475,1.08704117,0.945792920074525
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"midbodydorsalscales","postocularscales",0.0553511868018095,-1.326749385,1.38210057180181
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"infralabialscales","supralabialscales",0.24549345848339,1.524944578,1.27945111951661
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"infralabialscales","postocularscales",0.0563942349404021,0.939585088,0.883190853059598
NA,"Arn1999.47.csv","Thamnophis.elegans",NA,"supralabialscales","postocularscales",0.0672170255512214,0.399818649,0.332601623448779
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"ventralscales","subcaudalscales",0.307526104555213,0.0258056611697893,0.281720443385424
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"ventralscales","midbodydorsalscales",0.0394513452472914,-0.159521605588118,0.198972950835409
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"ventralscales","infralabialscales",0.0662660207355729,0.729989614411338,0.663723593675765
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"ventralscales","supralabialscales",0.0723573041031813,0.186574229246861,0.11421692514368
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"ventralscales","postocularscales",0.0900252124653853,-0.045070167702564,0.135095380167949
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"subcaudalscales","midbodydorsalscales",-0.174018442673908,-0.0941513083524008,0.0798671343215072
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"subcaudalscales","infralabialscales",0.101576797217017,0.01912297479816,0.082453822418857
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"subcaudalscales","supralabialscales",0.0123527849347635,0.0692465303622724,0.0568937454275089
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"subcaudalscales","postocularscales",0.0234545261672985,-0.129246295571249,0.152700821738548
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"midbodydorsalscales","infralabialscales",0.210432680057783,0.877720884707916,0.667288204650133
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"midbodydorsalscales","supralabialscales",0.114315873853292,2.0744345466957,1.96011867284241
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"midbodydorsalscales","postocularscales",0.0513702560423351,0.992684612817576,0.941314356775241
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"infralabialscales","supralabialscales",0.207575464229944,1.29109466360331,1.08351919937337
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"infralabialscales","postocularscales",0.0578131909288842,0,0.0578131909288842
