Pmatrix,Organism,Raw.data.avilable.on.DRYAD,Gmatrix,cormatrix,directory,data.link,Reference,Taxon1,Taxon2,Title,Pmatrix.1,Means,Paper.Link,full.reference,Email,GmatId,trait.type
And1996.1,Saxifraga.granulata,0,0,1,NA,NA,Andersson.1996.Her,P,P,"Floral variation in Saxifraga granulata: phenotypic selection, quantitative genetics and predicted response to selection",1,1,10.1038/hdy.1996.127,"Andersson, S. 1996, ""Floral variation in Saxifraga granulata: phenotypic selection, quantitative genetics and predicted response to selection"", Heredity, vol. 77, no. 2, pp. 217-223.",NA,And1996.5,S
And1996.1,Saxifraga.granulata,0,0,1,NA,NA,Andersson.1996.Her,P,P,"Floral variation in Saxifraga granulata: phenotypic selection, quantitative genetics and predicted response to selection",1,1,10.1038/hdy.1996.127,"Andersson, S. 1996, ""Floral variation in Saxifraga granulata: phenotypic selection, quantitative genetics and predicted response to selection"", Heredity, vol. 77, no. 2, pp. 217-223.",NA,And1996.6,M
And1997.1,Nigella.degenii,0,1,1,NA,NA,Andersson.1997.BJLS,P,P,Genetic constraints on phenotypic evolution in Nigella (Ranunculaceae),1,0.5,10.1111/j.1095-8312.1997.tb00319.x,"Andersson, S. 1997, ""Genetic constraints on phenotypic evolution in Nigella (Ranunculaceae)"", Biological Journal of the Linnean Society, vol. 62, no. 4, pp. 519-532.",NA,And1997.1,S
And1997.1,Nigella.degenii,0,1,1,NA,NA,Andersson.1997.BJLS,P,P,Genetic constraints on phenotypic evolution in Nigella (Ranunculaceae),1,0.5,10.1111/j.1095-8312.1997.tb00319.x,"Andersson, S. 1997, ""Genetic constraints on phenotypic evolution in Nigella (Ranunculaceae)"", Biological Journal of the Linnean Society, vol. 62, no. 4, pp. 519-532.",NA,And1997.2,M
And1997.1,Nigella.degenii,0,1,1,NA,NA,Andersson.1997.BJLS,P,P,Genetic constraints on phenotypic evolution in Nigella (Ranunculaceae),1,0.5,10.1111/j.1095-8312.1997.tb00319.x,"Andersson, S. 1997, ""Genetic constraints on phenotypic evolution in Nigella (Ranunculaceae)"", Biological Journal of the Linnean Society, vol. 62, no. 4, pp. 519-532.",NA,And1997.3,S
And1997.1,Nigella.degenii,0,1,1,NA,NA,Andersson.1997.BJLS,P,P,Genetic constraints on phenotypic evolution in Nigella (Ranunculaceae),1,0.5,10.1111/j.1095-8312.1997.tb00319.x,"Andersson, S. 1997, ""Genetic constraints on phenotypic evolution in Nigella (Ranunculaceae)"", Biological Journal of the Linnean Society, vol. 62, no. 4, pp. 519-532.",NA,And1997.4,M
Ash1999.1,Fragaria.virginiana,0,0,1,NA,NA,Ashman.1999.Her,P,P,Quantitative genetics of floral traits in a gynodioecious wild strawberry Fragaria virginiana: implications for the independent evolution of female and hermaphrodite floral phenotypes,1,1,10.1038/sj.hdy.6886390,"Ashman, T.L. 1999, ""Quantitative genetics of floral traits in a gynodioecious wild strawberry Fragaria virginiana: implications for the independent evolution of female and hermaphrodite floral phenotypes"", Heredity, vol. 83 ( Pt 6), no. 6, pp. 733-741.",NA,Ash1999.7,S
Ash1999.2,Fragaria.virginiana,0,0,1,NA,NA,Ashman.1999.Her,P,P,Quantitative genetics of floral traits in a gynodioecious wild strawberry Fragaria virginiana: implications for the independent evolution of female and hermaphrodite floral phenotypes,1,1,10.1038/sj.hdy.6886390,"Ashman, T.L. 1999, ""Quantitative genetics of floral traits in a gynodioecious wild strawberry Fragaria virginiana: implications for the independent evolution of female and hermaphrodite floral phenotypes"", Heredity, vol. 83 ( Pt 6), no. 6, pp. 733-741.",NA,Ash1999.8,S
Ash2003.1,Fragaria.virginiana,0,0,1,NA,NA,Ashman.2003.Evo,P,P,CONSTRAINTS ON THE EVOLUTION OF MALES AND SEXUAL DIMORPHISM: FIELD ESTIMATES OF GENETIC ARCHITECTURE OF REPRODUCTIVE TRAITS IN THREE POPULATIONS OF GYNODIOECIOUS FRAGARIA VIRGINIANA,1,1,10.1554/02-493,"Ashman, T. 2003, ""CONSTRAINTS ON THE EVOLUTION OF MALES AND SEXUAL DIMORPHISM: FIELD ESTIMATES OF GENETIC ARCHITECTURE OF REPRODUCTIVE TRAITS IN THREE POPULATIONS OF GYNODIOECIOUS FRAGARIA VIRGINIANA"", Evolution, vol. 57, no. 9, pp. 2012-2025.",NA,Ash2003.9,S
Ash2003.2,Fragaria.virginiana,0,0,1,NA,NA,Ashman.2003.Evo,P,P,CONSTRAINTS ON THE EVOLUTION OF MALES AND SEXUAL DIMORPHISM: FIELD ESTIMATES OF GENETIC ARCHITECTURE OF REPRODUCTIVE TRAITS IN THREE POPULATIONS OF GYNODIOECIOUS FRAGARIA VIRGINIANA,1,1,10.1554/02-493,"Ashman, T. 2003, ""CONSTRAINTS ON THE EVOLUTION OF MALES AND SEXUAL DIMORPHISM: FIELD ESTIMATES OF GENETIC ARCHITECTURE OF REPRODUCTIVE TRAITS IN THREE POPULATIONS OF GYNODIOECIOUS FRAGARIA VIRGINIANA"", Evolution, vol. 57, no. 9, pp. 2012-2025.",NA,Ash2003.10,S
