prementumwidth,prementumlength,epipharynxwidth,epipharynxlength,palatalplatelength,greatestwidthofpalatalplate,betweenmystaxbristledistance,eyewidth,eyelength,winglength,wingwidth,scutellumwidth,scutellumlength,tibialength,tibiawidth,basitarsuslength,basitarsuswidth
2339,764,512,837,1298,1074,1230,1879,1670,5669,3516,1584,491,2242,254,610,61
764,9065,416,2027,3126,1169,1896,2935,2881,9236,4166,2344,986,3768,109,1982,315
512,416,1641,593,886,1649,844,1448,1101,4683,2743,963,261,1334,200,1050,81
837,2027,593,6841,6108,1770,1786,3938,4326,15857,7807,3203,1131,6413,479,2822,176
1298,3126,886,6108,16805,2771,6170,7414,8471,30609,13140,6407,2997,12770,974,5527,409
1074,1169,1649,1770,2771,4468,2750,3261,3284,11500,6371,2911,718,4142,350,2109,179
1230,1896,844,1786,6170,2750,19272,-6515,6582,29603,14805,6457,2662,10585,925,4692,316
1879,2935,1448,3938,7414,3261,-6515,36836,14131,37827,17987,7757,3250,15537,1593,7608,785
1670,2881,1101,4326,8471,3284,6582,14131,19165,333033,17674,7578,2846,12409,1197,5930,421
5669,9236,4683,15857,30609,11500,29603,37827,333033,303128,107475,34524,20643,76792,5587,35447,2048
3516,4166,2743,7807,13140,6371,14805,17987,17674,107475,82571,17421,8072,30489,3096,14511,859
1584,2344,963,3203,6407,2911,6457,7757,7578,34524,17421,17234,6868,11808,1244,5582,395
491,986,261,1131,2997,718,2662,3250,2846,20643,8072,6868,14941,7242,400,2670,176
2242,3768,1334,6413,12770,4142,10585,15537,12409,76792,30489,11808,7242,42776,2329,15564,1132
254,109,200,479,974,350,925,1593,1197,5587,3096,1244,400,2329,1544,1550,-11
610,1982,1050,2822,5527,2109,4692,7608,5930,35447,14511,5582,2670,15564,1550,15412,271
61,315,81,176,409,179,316,785,421,2048,859,395,176,1132,-11,271,795
