ovule.no,seed.no,seed.mass,anther.no,pollen.no,pollen.size,anthers.per.ovule,pollen.per.ovule,petal.no,petal.size
1,0.336,0.057,-0.063,0.118,0.061,0,0,0.034,0.329
0.336,1,-0.152,-0.308,0.049,-0.088,-0.447,-0.087,-0.197,0.085
0.057,-0.152,1,0.126,0.051,0.136,0.076,0.028,-0.053,-0.054
-0.063,-0.308,0.126,1,0.132,-0.007,0,0.157,-0.006,-0.05
0.118,0.049,0.051,0.132,1,-0.103,0.034,0,0.306,-0.171
0.061,-0.088,0.136,-0.007,-0.103,1,-0.034,-0.158,0.072,0.047
0,-0.447,0.076,0,0.034,-0.034,1,0.228,-0.012,-0.166
0,-0.087,0.028,0.157,0,-0.158,0.228,1,0.303,-0.224
0.034,-0.197,-0.053,-0.006,0.306,0.072,-0.012,0.303,1,0.124
0.329,0.085,-0.054,-0.05,-0.171,0.047,-0.166,-0.224,0.124,1
