"prementumwidth","prementumlength","epipharynxwidth","epipharynxlength","palatalplatelength","greatestwidthofpalatalplate","betweenmystaxbristledistance","eyewidth","eyelength","winglength","wingwidth","scutellumwidth","scutellumlength","tibialength","tibiawidth","basitarsuslength","basitarsuswidth"
2095,1097,439,882,1328,1021,1146,2290,1615,6180,3454,1743,849,2727,198,1373,84
1097,8127,654,1815,2724,1655,2020,4195,3634,12356,7058,2557,1501,5615,273,3235,268
439,654,967,354,707,989,739,1335,1081,4119,228,816,554,1538,165,972,123
882,1815,354,4917,4156,1126,1837,3247,3830,11350,5601,2554,1417,5119,234,2527,219
1328,2724,707,4156,12157,1939,3603,7557,7257,25485,12145,5849,3186,11558,820,5699,586
1021,1655,989,1126,1939,3159,1945,3538,3039,11430,5757,2632,1536,4614,482,2684,252
1146,2020,739,1837,3603,1945,13952,-4485,5080,22322,11044,4942,3045,8439,803,3990,289
2290,4195,1335,3247,7557,3538,-4485,32338,13288,36261,18165,3398,4335,15759,1564,9090,817
1615,3634,1081,3830,7257,3039,5080,13288,18034,30767,15473,7141,3663,13616,1135,7323,609
6180,12356,4119,11350,25485,11430,22322,36261,30767,276617,111849,33996,21850,69367,5966,37290,2651
3454,7058,228,5601,12145,5757,11044,18165,15473,111849,74567,17586,9803,30370,3198,17240,1368
1743,2557,816,2554,5849,2632,4942,3398,7141,33996,17586,15936,6501,13088,1289,6485,364
849,1501,554,1417,3186,1536,3045,4335,3663,21850,9803,6501,13307,7462,762,3688,375
2727,5615,1538,5119,11558,4614,8439,15759,13616,69367,30370,13088,7462,39348,2416,15592,1364
198,273,165,234,820,482,803,1564,1135,5966,3198,1289,762,2416,1408,1396,2
1373,3235,972,2527,5699,2684,3990,9090,7323,37290,17240,6485,3688,15592,1396,14928,418
84,268,123,219,586,252,289,817,609,2651,1368,364,375,1364,2,418,844
