"Paper","Organism","Raw data avilable","Gmatrix","Pmatrix","cormatrix","directory","data link","Reference","Taxon1","Taxon2","NA","NA","NA","NA"
"And1997.1.csv","Nigella.degenii",NA,1,NA,0,NA,NA,"Andersson.1997.BJLS","P","P",NA,NA,NA,NA
"And1997.2.csv","Nigella.degenii",NA,1,NA,0,NA,NA,"Andersson.1997.BJLS","P","P",NA,NA,NA,NA
"And1997.3.csv","Nigella.degenii",NA,1,NA,0,NA,NA,"Andersson.1997.BJLS","P","P",NA,NA,NA,NA
"And1997.4.csv","Nigella.degenii",NA,1,NA,0,NA,NA,"Andersson.1997.BJLS","P","P",NA,NA,NA,NA
"Arn1999.47.csv","Thamnophis.elegans",NA,1,NA,0,NA,NA,"Arnold.Phillips.1999.Evo","V","A",NA,NA,NA,NA
"Arn1999.48.csv","Thamnophis.elegans",NA,1,NA,0,NA,NA,"Arnold.Phillips.1999.Evo","V","A",NA,NA,NA,NA
"Arn1999.49.csv","Thamnophis.elegans",NA,1,NA,0,NA,NA,"Arnold.Phillips.1999.Evo","V","A",NA,NA,NA,NA
"Arn1999.50.csv","Thamnophis.elegans",NA,1,NA,0,NA,NA,"Arnold.Phillips.1999.Evo","V","A",NA,NA,NA,NA
"Beg2001.72.csv","Gryllus.pennsylvanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2001","I","A",NA,NA,NA,NA
"Beg2001.73.csv","Gryllus.pennsylvanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2001","I","A",NA,NA,NA,NA
"Beg2003.79.csv","Gryllus.pennsylvanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2003","I","A",NA,NA,NA,NA
"Beg2003.81.csv","Gryllus.pennsylvanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2003","I","A",NA,NA,NA,NA
"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2003","I","A",NA,NA,NA,NA
"Beg2004.84.csv","Gryllus.firmus",NA,1,NA,0,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.85.csv","Gryllus.firmus",NA,1,NA,0,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.86.csv","Gryllus.firmus",NA,1,NA,0,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.87.csv","Gryllus.firmus",NA,1,NA,0,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.88.csv","Gryllus.firmus",NA,1,NA,0,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"Beg2004.89.csv","Gryllus.firmus",NA,1,NA,0,NA,NA,"Begin.et.al.2004","I","A",NA,NA,NA,NA
"BeRo2004.100.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.102.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.104.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.106.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.108.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.96.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"BeRo2004.98.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Begin.Roff.2004","I","A",NA,NA,NA,NA
"Blo2003.115.csv","Drosophila.serrata",NA,1,NA,0,NA,NA,"Blows.Higgie.2003","I","A",NA,NA,NA,NA
"Blo2003.116.csv","Drosophila.serrata",NA,1,NA,0,NA,NA,"Blows.Higgie.2003","I","A",NA,NA,NA,NA
"Blo2003.117.csv","Drosophila.serrata",NA,1,NA,0,NA,NA,"Blows.Higgie.2003","I","A",NA,NA,NA,NA
"Blo2003.118.csv","Drosophila.serrata",NA,1,NA,0,NA,NA,"Blows.Higgie.2003","I","A",NA,NA,NA,NA
"Bra2004.122.csv","Achroia.grisella",NA,1,NA,0,NA,NA,"Brandt.Greenfield.2004","I","A",NA,NA,NA,NA
"Bra2004.123.csv","Achroia.grisella",NA,1,NA,0,NA,NA,"Brandt.Greenfield.2004","I","A",NA,NA,NA,NA
"Bro2001.124.csv","Poecilia.reticulata",NA,1,NA,0,NA,NA,"Brooks.Endler.2001.Evo","V","A",NA,NA,NA,NA
"Bro2001.125.csv","Poecilia.reticulata",NA,1,NA,0,NA,NA,"Brooks.Endler.2001.Evo","V","A",NA,NA,NA,NA
"Car2004.161.csv","Lobelia.siphilitica",NA,1,NA,0,NA,NA,"Caruso.2004.Evo","P","P",NA,NA,NA,NA
"Car2004.162.csv","Lobelia.siphilitica",NA,1,NA,0,NA,NA,"Caruso.2004.Evo","P","P",NA,NA,NA,NA
"Col2005.166.csv","Ovis.canadiensis",NA,1,NA,0,NA,NA,"Coltman.et.al.2005.Evo","V","A",NA,NA,NA,NA
"Con1992.170.csv","Tribolium.castaneum",NA,1,NA,0,NA,NA,"Conner.Via.1992.Her","I","A",NA,NA,NA,NA
"Con2003.167.csv","Raphanus.raphanistrum",NA,1,NA,0,NA,NA,"Conner.et.al.2003","P","P",NA,NA,NA,NA
"Con2003.168.csv","Raphanus.raphanistrum",NA,1,NA,0,NA,NA,"Conner.et.al.2003","P","P",NA,NA,NA,NA
"Del2004.184.csv","Silene.latifolia",NA,1,NA,0,NA,NA,"Delph.et.al.2004","P","P",NA,NA,NA,NA
"Ell1998.194.csv","Solanum.carolinese",NA,1,NA,0,NA,NA,"Elle.1998.Her","P","P",NA,NA,NA,NA
"Ell1998.195.csv","Solanum.carolinese",NA,1,NA,0,NA,NA,"Elle.1998.Her","P","P",NA,NA,NA,NA
"Ell1998.196.csv","Solanum.carolinese",NA,1,NA,0,NA,NA,"Elle.1998.Her","P","P",NA,NA,NA,NA
"For2009.465.csv","Taeniopygia.guttata",NA,1,NA,0,NA,NA,"Forstmeier.et.al.2009","V","A",NA,NA,NA,NA
"For2009.467.csv","Taeniopygia.guttata",NA,1,NA,0,NA,NA,"Forstmeier.et.al.2009","V","A",NA,NA,NA,NA
"For2009.468.csv","Taeniopygia.guttata",NA,1,NA,0,NA,NA,"Forstmeier.et.al.2009","V","A",NA,NA,NA,NA
"Gar2008.201.csv","Parsus.major",NA,1,NA,0,NA,NA,"Garant.et.al.2008","V","A",NA,NA,NA,NA
"Gar2008.202.csv","Parsus.major",NA,1,NA,0,NA,NA,"Garant.et.al.2008","V","A",NA,NA,NA,NA
"Gem2001.472.csv","Trichoplusia.ni",NA,1,NA,0,NA,NA,"Gemeno.et.al.2001.BG","I","A",NA,NA,NA,NA
