Paper,Organism,Raw data avilable,Gmatrix,cormatrix,directory,data link,Reference,Taxon1,Taxon2
And1997,Nigella.degenii,NA,1,0,NA,NA,Andersson.1997.BJLS,P,P
Arn1999,Thamnophis.elegans,NA,1,0,NA,NA,Arnold.Phillips.1999.Evo,V,A
Beg2001,Gryllus.pennsylvanicus,NA,1,0,NA,NA,Begin.Roff.2001,I,A
Beg2003,Gryllus.pennsylvanicus,NA,1,0,NA,NA,Begin.Roff.2003,I,A
Beg2004,Gryllus.firmus,NA,1,0,NA,NA,Begin.et.al.2004,I,A
BeRo200,Teleogryllus.oceanicus,NA,1,0,NA,NA,Begin.Roff.2004,I,A
Blo2003,Drosophila.serrata,NA,1,0,NA,NA,Blows.Higgie.2003,I,A
Bra2004,Achroia.grisella,NA,1,0,NA,NA,Brandt.Greenfield.2004,I,A
Bro2001,Poecilia.reticulata,NA,1,0,NA,NA,Brooks.Endler.2001.Evo,V,A
Car2004,Lobelia.siphilitica,NA,1,0,NA,NA,Caruso.2004.Evo,P,P
Col2005,Ovis.canadiensis,NA,1,0,NA,NA,Coltman.et.al.2005.Evo,V,A
Con1992,Tribolium.castaneum,NA,1,0,NA,NA,Conner.Via.1992.Her,I,A
Con2003,Raphanus.raphanistrum,NA,1,0,NA,NA,Conner.et.al.2003,P,P
Del2004,Silene.latifolia,NA,1,0,NA,NA,Delph.et.al.2004,P,P
Ell1998,Solanum.carolinese,NA,1,0,NA,NA,Elle.1998.Her,P,P
For2009,Taeniopygia.guttata,NA,1,0,NA,NA,Forstmeier.et.al.2009,V,A
Gar2008,Parsus.major,NA,1,0,NA,NA,Garant.et.al.2008,V,A
Gem2001,Trichoplusia.ni,NA,1,0,NA,NA,Gemeno.et.al.2001.BG,I,A
Gom2009,Erysimum.mediohispanicum,NA,1,0,NA,NA,Gomez.2009,P,P
Gun1997,Callosobruchus.maculatus,NA,1,0,NA,NA,Guntrip.et.al.1997.Her,I,A
Hlu2009,Papio.hamadryas,NA,1,0,NA,NA,Hlusko.Mahaney.2009,V,A
Hou2005,Onthophagus.taurus,NA,1,0,NA,NA,House.Simmons.2005.JEB,I,A
Jen2003,Passer.domesticus,NA,1,0,NA,NA,Jensen.et.al.2003,V,A
Kac2008,Innicotiana.alata,NA,1,0,NA,NA,Kaczorowski.et.al.2008,P,P
Kim2010,Taeniopygia.guttata,NA,1,0,NA,NA,Kim.et.al.2010,V,A
Kra2006,Rana.lessonae,NA,1,0,NA,NA,Kraft.et.al.2006,V,A
Kum2007,lowland.rice,NA,1,0,NA,NA,Kumar.et.al.2007,P,P
Mer1993,Ficedula.albicollis,NA,1,0,NA,NA,Merila.Gustafsson.1993.Her,V,A
Mer1996,Ficedula.albicollis,NA,1,0,NA,NA,Merila.Gustafsson.1996.Her,V,A
Mit1993,Penstemon.centranthifolius,NA,1,0,NA,NA,Mitchell.Shaw.1993.Her,P,P
Moo2004,Nauphoeta.cinerea,NA,1,0,NA,NA,Moore.et.al.2004.Evo,I,A
Nes2005,Phyllotis.darwini,NA,1,0,NA,NA,Nespolo.et.al.2005,V,A
Phi1998,Rana.sylvatica,NA,1,0,NA,NA,Phillips.1998.JEB,V,A
Pod1997,Clarkia.dudleyana,NA,1,0,NA,NA,Podolsky.et.al.1997.Evo,P,P
Rob2009,Ovis.aries,NA,1,0,NA,NA,Robinson.et.al.2009,V,A
Sgr2004,Drosophila.serrata,NA,1,0,NA,NA,Sgro.Blows.2004,I,A
She2009,Avena.barbata,NA,1,0,NA,NA,Sherrard.et.al.2009,P,P
Sim2004,Teleogryllus.oceanicus,NA,1,0,NA,NA,Simmons.2004.AB,I,A
Wat2001,Hyla.regilla,NA,1,0,NA,NA,Watkins.2001.Evo,V,A
Wil2005,Ovis.canadiensis,NA,1,0,NA,NA,Wilson.et.al.2005.AmNat,V,A
And1996,Saxifaga.granulata,NA,0,1,NA,NA,Andersson.1996.Her,P,P
And1997,Nigella.degenii,NA,0,1,NA,NA,Andersson.1997.BJLS,P,P
Arn1999,Thamnophis.elegans,NA,0,1,NA,NA,Arnold.Phillips.1999.Evo,V,A
Ash1999,Fragaria.virginiana,NA,0,1,NA,NA,Ashman.1999.Her,P,P
Ash2003,Fragaria.virginiana,NA,0,1,NA,NA,Ashman.2003.Evo,P,P
Beg2001,Gryllus.pennsylvanicus,NA,0,1,NA,NA,Begin.Roff.2001,I,A
Beg2003,Gryllus.pennsylvanicus,NA,0,1,NA,NA,Begin.Roff.2003,I,A
Beg2004,Gryllus.firmus,NA,0,1,NA,NA,Begin.et.al.2004,I,A
BeRo200,Teleogryllus.oceanicus,NA,0,1,NA,NA,Begin.Roff.2004,I,A
Bir2005,Taeniopygia.guttata,NA,0,1,NA,NA,Birkhead.et.al.2005.Nat,V,A
Blo2003,Drosophila.serrata,NA,0,1,NA,NA,Blows.Higgie.2003,I,A
Blo2004,Drosophila.serrata,NA,0,1,NA,NA,Blows.et.al.2004.Am.Nat,I,A
Bon2005,Prochyliza.xanthostoma,NA,0,1,NA,NA,Bonduriansky.Rowe.2005.Evo,I,A
Bra2004,Achroia.grisella,NA,0,1,NA,NA,Brandt.Greenfield.2004,I,A
Bro2001,Poecilia.reticulata,NA,0,1,NA,NA,Brooks.Endler.2001.Evo,V,A
Can2004,Rana.temporaria,NA,0,1,NA,NA,Cano.et.al.2004,V,A
Car1994,Choristoneura.rosaceana,NA,0,1,NA,NA,Carriere.Roitberg.1994.EvoEntoAppl,I,A
Car2004,Lobelia.siphilitica,NA,0,1,NA,NA,Caruso.2004.Evo,P,P
